"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","06-Jun-2017","        967.00","        970.00","        970.00","        960.10","        968.00","        966.40","        964.96","    1700072","          1640502080.90","      31554","    1449602","         85.27"
"KOTAKBANK","EQ","07-Jun-2017","        966.40","        970.00","        970.00","        964.00","        968.95","        968.65","        967.70","     663956","           642507507.40","      24136","     448087","         67.49"
"KOTAKBANK","EQ","08-Jun-2017","        968.65","        969.95","        983.30","        965.90","        978.85","        978.85","        978.30","    1509894","          1477136594.25","      37128","     967731","         64.09"
"KOTAKBANK","EQ","09-Jun-2017","        978.85","        978.75","        987.00","        975.55","        985.85","        985.10","        982.24","    1383421","          1358856540.00","      37921","     990520","         71.60"
"KOTAKBANK","EQ","12-Jun-2017","        985.10","        985.85","        990.00","        972.10","        977.80","        976.70","        978.02","    1192741","          1166527765.30","      20564","     806507","         67.62"
"KOTAKBANK","EQ","13-Jun-2017","        976.70","        973.20","        980.00","        971.25","        973.40","        974.20","        975.50","     900426","           878363276.90","      32301","     656947","         72.96"
"KOTAKBANK","EQ","14-Jun-2017","        974.20","        970.00","        972.15","        963.00","        966.05","        968.05","        968.28","     955259","           924962692.35","      39317","     717298","         75.09"
"KOTAKBANK","EQ","15-Jun-2017","        968.05","        962.50","        969.75","        960.20","        962.90","        962.60","        965.32","    1158086","          1117918099.20","      41153","     836154","         72.20"
"KOTAKBANK","EQ","16-Jun-2017","        962.60","        966.95","        990.10","        962.35","        984.45","        982.65","        980.39","    4197485","          4115186021.95","      42407","    3516924","         83.79"
"KOTAKBANK","EQ","19-Jun-2017","        982.65","        986.25","        991.80","        985.00","        985.35","        987.55","        987.69","     917933","           906631043.30","      19920","     584693","         63.70"
